req,issue
1,1
1,2
1,3
2,4
3,5
3,6
4,7
4,8
5,9
6,10
6,11
6,12
8,13
8,14
8,15
9,16
9,17
10,18
11,19
11,20
12,21
12,22
13,23
13,24
14,25
14,26
14,28
15,27
15,29
16,30
16,31
16,32
17,34
18,35
18,36
19,37
19,38
19,100
20,39
20,40
21,33
22,41
23,42
23,43
24,44
24,45
25,46
25,47
26,48
26,49
27,50
28,51
28,52
29,53
29,54
30,55
30,56
31,57
31,58
32,59
33,60
33,61
34,62
34,63
35,64
35,65
35,66
35,67
36,68
36,69
37,70
37,71
38,72
38,73
39,74
39,75
40,76
40,77
41,78
41,79
41,80
42,81
42,82
43,83
44,84
44,85
44,86
45,87
46,88
47,89
48,90
48,91
49,92
49,93
50,94
51,95
51,96
51,97
51,98
51,99
