req,issue
1,34
2,18
2,28
2,35
2,36
3,3
3,4
3,8
3,11
3,16
3,23
3,24
3,25
3,26
3,27
3,40
3,42
3,50
4,11
4,16
4,23
4,24
4,40
4,42
5,3
5,4
5,8
5,15
5,25
5,26
5,27
5,39
5,50
6,4
6,20
6,26
6,27
6,30
6,31
6,35
6,43
6,44
6,51
7,13
7,21
7,22
7,33
7,40
7,47
7,48
8,11
8,13
8,14
8,16
8,17
8,21
8,22
8,23
8,24
8,33
8,40
8,42
9,41
9,47
9,48
10,13
10,14
10,17
10,18
10,22
10,30
10,31
10,33
10,40
10,43
10,45
10,46
11,1
11,5
11,13
11,14
11,17
11,21
11,22
11,23
11,24
11,29
11,33
11,40
12,4
12,17
12,18
12,20
12,26
12,27
12,35
12,43
12,44
12,45
12,46
13,4
13,17
13,18
13,20
13,26
13,27
13,28
13,35
13,43
13,44
13,45
13,46
14,1
14,5
14,11
14,16
14,23
14,24
14,29
14,40
14,42
15,4
15,5
15,6
15,17
15,18
15,20
15,26
15,27
15,29
15,35
15,43
15,44
15,45
15,46
16,1
16,5
16,11
16,16
16,23
16,24
16,29
16,32
16,40
16,42
17,47
17,48
18,19
19,3
19,35
20,17
20,18
20,43
20,45
20,46
21,3
21,4
21,8
21,25
21,26
21,27
21,50
22,9
22,17
22,49
23,3
23,4
23,8
23,20
23,25
23,26
23,27
23,35
23,43
23,44
23,50
24,3
24,4
24,8
24,21
24,25
24,26
24,27
24,50
25,8
25,21
25,25
25,50
26,3
26,4
26,8
26,20
26,21
26,25
26,26
26,27
26,35
26,43
26,44
26,50
27,8
27,10
27,21
27,25
27,50
28,3
28,4
28,8
28,20
28,25
28,26
28,27
28,35
28,43
28,44
28,50
28,51
29,30
29,31
29,51
30,5
30,6
30,8
30,21
30,25
30,29
30,44
30,50
32,2
32,5
32,7
32,29
32,44
32,52
