req,issue
1,1
1,2
1,3
1,44
2,1
2,2
2,3
2,44
3,4
3,5
3,25
3,53
3,54
4,6
4,9
4,13
5,13
5,14
5,21
5,32
6,4
6,5
6,25
6,53
6,54
7,15
7,16
7,26
7,27
7,28
7,49
7,50
8,4
8,5
8,53
8,54
9,15
9,16
9,26
9,27
9,28
9,49
9,50
10,1
10,2
10,3
10,44
11,1
11,2
11,3
12,19
13,20
13,22
14,23
14,24
14,25
15,15
15,16
15,23
15,24
15,26
15,27
15,28
15,37
15,48
15,49
15,50
16,6
16,7
16,8
16,9
16,10
16,11
16,12
16,29
16,30
16,37
16,38
16,43
16,45
16,46
16,48
17,30
17,31
17,45
17,46
17,47
18,21
18,32
18,33
18,34
18,35
18,36
18,52
19,21
19,32
19,33
19,34
19,35
19,36
19,52
20,6
20,7
20,8
20,9
20,10
20,11
20,12
20,23
20,24
20,26
20,27
20,29
20,30
20,37
20,38
20,43
20,45
20,46
20,48
21,39
21,40
21,41
21,42
21,43
21,44
21,53
21,54
22,39
22,41
22,42
22,43
22,44
22,47
23,6
23,7
23,8
23,12
23,31
23,44
23,45
23,46
23,47
24,6
24,7
24,8
24,12
24,31
24,44
24,45
24,46
24,47
